0   761    
60   771    
90    777    
120    782    
150    785    
180    790    
210    793    
240    796    
270    798    
300    802    
330    805    
360    807    
390    810    
420    813    
450    814    
480    817    
510    821    
540    824    
570    826    
600    830    
630    832    
660    835    
690    837    
720    840    
750    843    
780    845    
810    849    
840    851    
870    860    
900    863    
930    865    
960    867    
990    869    
1020    870    
1050    873    
1080    876    
1110    878    
1140    880    
1170    882    
1200    885    
1230    887    
1260    889    
1290    891    
1320    893    
1350    896    
1380    898    
1410    900    
1440    902    
1470    904    
1500    905    
1530    908    
1560    910    
1590    912    
1620    914    
1650    917    
1680    919    
1710    921    
1740    921    
1770    925    
1800    926    
1830    928    
1860    930    
