 0     541     
   30     549     
 60     555.5     
   90     562     
 120     566     
   150     573     
 180     578     
   210          
 240     585     
   270     591     
 300     594     
   330     599     
 360     603     
   390     606.5     
 420     610     
   450     613.5     
 480     617     
   510     621     
 540     625.5     
   570     632     
  600     635.5     
    630     639     
  660     643     
    690     645.5     
  720     650     
    750     656     
  780     660.5     
    810     665     
  840     669.5     
    870     671     
  900     678.5     
    930     682     
  960     686.5     
    990     690     
  1020     693.5     
    1050     698     
  1080     704     
    1110     707.5     
  1140     710     
    1170     713.5     
  1200     717     
    1230     721     
  1260     726     
    1290     728     
  1320     731     
    1350     734     
  1380     737     
    1410     740     
  1440     744     
    1470     749     
  1500     752     
    1530     757     
  1560     760     
    1590     763     
  1620     766.5     
    1650     769.5     
  1680     773.5     
    1710     776     
  1740     778.5     
    1770     781.5     
  1800     786     
    1830     790     
  1860     793.5     
